Battery,Camera,Processor,Design,Longevity,Compatibility,Display,degrades,battery_hrs,battery_capacity
Yes,No,Yes,No,No,No,No,Agree,5 - 7 hrs,Okish
Yes,No,Yes,No,No,No,No,Disagree,5 - 7 hrs,Good
Yes,No,No,No,No,No,Yes,Agree,<4 hrs,Don't Care
Yes,Yes,Yes,No,No,Yes,No,I know,One full Day,Good
Yes,Yes,Yes,Yes,No,No,No,Agree,<4 hrs,Good
Yes,No,Yes,No,No,No,Yes,Agree,8 - 10 hrs.,Good
Yes,No,Yes,No,No,No,No,Disagree,5 - 7 hrs,Good
Yes,Yes,No,No,No,Yes,No,Disagree,<4 hrs,Bad
Yes,Yes,Yes,No,No,No,Yes,I know,8 - 10 hrs.,Good
Yes,No,Yes,No,No,No,Yes,Disagree,5 - 7 hrs,Good
Yes,No,Yes,No,Yes,Yes,No,Agree,5 - 7 hrs,Bad
Yes,No,Yes,No,No,No,Yes,Agree,5 - 7 hrs,Don't Care
Yes,Yes,Yes,Yes,No,No,No,Disagree,5 - 7 hrs,Good
No,No,Yes,No,No,No,No,Disagree,5 - 7 hrs,Okish
Yes,Yes,Yes,No,No,No,Yes,Agree,5 - 7 hrs,Okish
Yes,No,Yes,Yes,No,Yes,No,Agree,One full Day,Good
Yes,Yes,Yes,No,No,No,Yes,I know,8 - 10 hrs.,Good
Yes,No,Yes,Yes,No,Yes,No,I know,5 - 7 hrs,Good
Yes,No,No,No,No,No,No,Agree,5 - 7 hrs,Good
No,No,No,Yes,No,No,No,Disagree,5 - 7 hrs,Okish
Yes,No,Yes,No,No,No,Yes,Agree,<4 hrs,Bad
Yes,Yes,Yes,No,No,No,Yes,Agree,8 - 10 hrs.,Good
Yes,Yes,Yes,No,Yes,No,No,Disagree,5 - 7 hrs,Okish
Yes,No,No,No,No,No,No,Disagree,8 - 10 hrs.,Good
No,Yes,No,No,No,No,No,Disagree,5 - 7 hrs,Okish
Yes,No,Yes,No,Yes,No,No,Agree,<4 hrs,Okish
Yes,Yes,Yes,No,No,No,Yes,Disagree,5 - 7 hrs,Okish
Yes,No,Yes,No,Yes,Yes,No,Agree,<4 hrs,Okish
Yes,Yes,No,No,No,No,Yes,Agree,<4 hrs,Okish
Yes,Yes,Yes,No,No,No,Yes,I know,<4 hrs,Okish
Yes,Yes,Yes,Yes,No,No,No,Disagree,<4 hrs,Don't Care
Yes,Yes,Yes,No,No,No,Yes,I know,5 - 7 hrs,Okish
No,Yes,Yes,No,No,No,No,Disagree,One full Day,Good
Yes,Yes,Yes,No,No,No,Yes,Disagree,5 - 7 hrs,Good
Yes,No,Yes,No,No,Yes,No,Disagree,8 - 10 hrs.,Good
Yes,Yes,Yes,No,No,No,Yes,Agree,5 - 7 hrs,Okish
Yes,Yes,Yes,No,No,No,Yes,Disagree,One full Day,Good
Yes,No,Yes,Yes,No,No,No,Agree,One Day+,Good
Yes,Yes,Yes,Yes,No,No,No,Disagree,<4 hrs,Good
Yes,No,Yes,Yes,No,Yes,No,Disagree,8 - 10 hrs.,Don't Care
